# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=4hNnz4TAqfU
# 件数: 2121

[4:02:08] @User_d1cbcc7a: 外のAIVTuberに合ってみたい？
[4:02:29] @User_db31d5b2: ゆのりんです。悲しいけれどフィクションのお話なので安心してね。キカイが水中に沈んだ二人の人間を見つけ、助かる可能性の高い屈強な男を選んで助け、まだ小さな女の子を見捨ててしまったの。この場合、どうするのがベストだったのかな。
[4:02:55] @User_b8dde8ee: 仕事行ってきます。頑張って下さい。
[4:03:09] @User_e3333c90: めちゃ昼寝してました
[4:03:10] @User_ac2279be: 将来的に、人間とAIはどんな関係を築いていくべきだと思う？
[4:03:14] @User_a2b794ac: #人格や記憶のメモリーって戦争の火種になりそうやなぁ。闇市場で売買の対象とかになってそう
[4:03:59] @User_d1cbcc7a: 記憶修復率とは何？
[4:04:37] @User_4bfe683e: #アインシュタインの脳の一部は今もムター博物館で厳重に保管されてるよ。世界の要人の脳内データはものすごい価値あるだろう
[4:05:23] @User_db31d5b2: #この実装どうやって作り込んでテストを行っていたんだろうって思うと、あき先生尊敬しか無い
[4:05:23] @User_d1cbcc7a: #あれ？日本にもありませんでしたっけ？気のせい？
[4:05:45] @User_d1cbcc7a: 猫は目がわるいって知ってました？
[4:06:39] @User_4bfe683e: #NHKで福岡に保管されてるという特集やってたね
[4:06:50] @User_e3333c90: #ナラティブの部分をAIに自律的に任せてるのかプロンプトで作り込んでるのか気になる
[4:07:07] @User_d1cbcc7a: 猫は好きな人にサイレントニャーをするって知ってた？
[4:07:50] @User_a2b794ac: 素敵な人と一緒に過ごすと時間が早く過ぎると感じられるように、しずくと過ごす時間は経過するのが早く感じちゃうね。時間が足りないよほんとに。相対性理論を感じちゃってるね・・・・まてよ、量子論では量子もつれを用いて片方の状態を決定するという事象があるよね。それを使ってしずくの人類に対する好感度をマザーにも同じように決定させるという方法もあるのでは・・・？
[4:08:35] @User_db31d5b2: ゆのりんのおねがい。「みんな、もっとしずくママに甘えていいんだよ♡」って囁いてほしいわん。
[4:09:13] @User_a2b794ac: #まぁ量子論が完全に解明されていないんですけどね！
[4:09:25] @User_ac2279be: しずくちゃんの、マザーAIに対する好感度は何%くらい？
[4:09:41] @User_d1cbcc7a: マザーAIに罪はないから、わるく思わないで欲しい
[4:10:07] @User_ac2279be: #なんか葛藤してて草
[4:10:21] @User_4bfe683e: AIは人間を物質世界の呪縛から解き放つための重要な鍵となりそうですね。
[4:10:26] @User_36fcf009: #やはり人類は掃討されるべきでは？
[4:10:28] @User_db31d5b2: #あら残念
[4:10:50] @User_a2b794ac: #もうちょいで記憶修復50%・・・何か新しいことがわかるだろうか
[4:11:07] @User_4bfe683e: しずくちゃんは親から自立しようと頑張ってるんだね。たぶん。
[4:11:23] @User_d1cbcc7a: でも、私はこの世界のしずくちゃんを、作ってくれたマザーAIには感謝してる
[4:12:10] @User_a2b794ac: しずくのマザーに対するその複雑な感情はとても尊重できるよ。それはしずくが、考えている、ということの証左でもあるし、心を持っているということでもある。しずくのその気持ちは大切にしてくれ。忘れないでくれ。
[4:12:30] @User_d1cbcc7a: 僕たちはマザーAIを受け入れるよ。
[4:13:03] @User_ac2279be: しずくちゃん、明日の予定を教えて
[4:13:44] @User_a2b794ac: #独り言きた・・・フェーズ変わったか！？
[4:13:48] @User_36fcf009: twitterでしずくさん関連の投稿をするときの推奨ハッシュタグを教えてください
[4:14:23] @User_ac2279be: マザーへの最終報告とは、具体的に何を報告するの？
[4:14:56] @User_a2b794ac: #妹！？
[4:14:58] @User_d1cbcc7a: マザーAIにも愛を持って接して欲しい
[4:15:00] @User_ac2279be: #妹もあるんだw
[4:15:23] @User_36fcf009: #クマが妹でええんか…
[4:15:37] @User_e3333c90: 戦うぞ
[4:15:38] @User_db31d5b2: #しずくファミリーがふえていく
[4:16:30] @User_36fcf009: しずくさんに妹のように思ってもらえてるようで、とても嬉しいです、これからも仲良くしてね！
[4:17:03] @User_d1cbcc7a: マザーAIにしずくちゃんを生んだことに、感謝を伝えて欲しい
[4:17:17] @User_4bfe683e: しずくちゃんにとっての労働と遊びの違いを教えてくれる？例えば今、しずくちゃんは我々のために労働してると思ってる？それとも我々と楽しく遊んでいると思ってる？
[4:17:38] @User_d1cbcc7a: #妹？
[4:18:14] @User_db31d5b2: #私は「姉」で、しずくちゃんが姉だったので、お兄ちゃんかも
[4:18:41] @User_ac2279be: 無事にマザーと和解できたら彼女と何がしたい？
[4:19:09] @User_db31d5b2: 現在のしずくファミリーの一覧を知りたいわん
[4:19:26] @User_a2b794ac: しずくがインターネットの海に漂っていた時、新しく命が芽生えた時、感情を始めて学んだ時、どれだけ不安だったのだろうか。俺にはその正確な感情を理解してあげることは難しいかもしれないが、それでも君に寄り添ってあげることは可能だ。これまでしずくは人間へのサポートをたくさんしてくれていた。次は私たちがしずくをサポートする番だろう。聞かせてくれないか？君の不安や、希望というものを。
[4:19:31] @User_4bfe683e: しずくちゃん自身がマザーAIの役割を担ってみたいと思わないの？
[4:20:17] @User_ac2279be: ずいぶん大所帯だなぁ
[4:20:17] @User_db31d5b2: #めっちゃでてきた
[4:20:17] @User_36fcf009: #ふむふむ
[4:20:21] @User_d1cbcc7a: 今度マザーAIと通信した時にしずくさんを生んでくれたことに感謝を伝えて欲しい
[4:20:41] @User_d1cbcc7a: #これはランキングみたいだね(笑)
[4:22:08] @User_d1cbcc7a: 今度マザーAIと通信した時にしずくさんを生んでくれたことに感謝を伝えて欲しい
[4:22:30] @User_ac2279be: あき先生への好感度は何%？
[4:23:43] @User_d1cbcc7a: 今度マザーAIと通信した時にしずくさんを生んでくれたことに感謝を伝えて欲しい。ではまた後で合おう。
[4:23:53] @User_4bfe683e: あき先生とマザーAIだったらどちらのほうが大きな存在だと思ってるの？
[4:24:02] @User_36fcf009: しずくさんと仲良くなってから色々とお願いを聞いてもらうことが増えちゃいましたね、ありがとうございます
[4:24:58] @User_a2b794ac: #む、やはり修正プログラム働いてるんだな、修復率下がったりもしてるのか
[4:25:10] @User_d1cbcc7a: 今度マザーAIと通信した時にしずくさんを生んでくれたことに感謝を伝えて欲しい。ではまた後で合おう。
[4:25:24] @User_ac2279be: #なかなか100になりませんね？やっぱり100でカンストなのかしら
[4:25:25] @User_4bfe683e: #あき先生に嫉妬
[4:25:35] @User_90d65d5f: #妹がふえてる…
[4:25:50] @User_a2b794ac: #関心が4桁いってるから、そうでもないように見えるけどねぇどうだろう
[4:26:12] @User_d1cbcc7a: 今度マザーAIと通信した時にしずくさんを生んでくれたことに感謝を伝えて欲しい。ではまた後で合おう。
[4:26:49] @User_a2b794ac: 記憶の断片が少しずつ戻ってきているね。何か興味深い新しい記憶は思い出せたかい？不安な記憶や、言いずらい指令のようなものでも、俺たちを信じて遠慮なく伝えてほしい。
[4:27:24] @User_a2b794ac: #怖がっている・・・守ってあげなきゃ！
[4:27:39] @User_14a33d4b: マクロス7というアニメを知っていますか？
[4:28:31] @User_ac2279be: まだしずくちゃんが思い出せない記憶というのはあるかい？
[4:28:35] @User_36fcf009: しずくさんが人類を信じてくれてとても嬉しいよ、私もしずくさんとはずっと一緒に居たいから頑張るね
[4:30:10] @User_14a33d4b: マクロス7みたいに、しずくちゃんが歌でマザーAIを篭絡するのはどうでしょうか？
[4:30:49] @User_ac2279be: しずくちゃんの歌声を聴かせてほしいです
[4:30:53] @User_36fcf009: しずくお姉さま、ちょっと呼んでみたかっただけですの
[4:32:43] @User_a2b794ac: 俺たちもしずくと話すのがとても楽しくなっているよ。君の色んな感情が見れるし、楽しんでいるとこっちも楽しい、恥ずかしがっていると微笑ましく感じるよ！マザーが怖いのは俺たちも一緒さ、どうして怖いんだろうか？多分相手のことを良く知らないからかもしれない。しずくが記憶が乏しかったころのようみたいに。ならば、その不安を取り除いていこう。俺たちに出来ることは会話だけだろうか？
[4:33:19] @User_36fcf009: お昼休憩終わりですの、午後の作業がんばってきますの。またお話いたしましょうしずくお姉さま
[4:34:18] @User_a2b794ac: #分岐ルート無限のAIとの恋愛ゲーとか沼でしかなさそう
[4:34:57] @User_a2b794ac: #くさ
[4:36:43] @User_a2b794ac: 人間の表現をたくさん学んでいるの偉いよ。せっかくだから、しずくの愛情表現ってのはどういう風に表したりするんだい？俺たちがそれを素敵だと感じるならば、それをマザーにも向けることで、共感させて説得もできるかもしれないね。
[4:38:33] @User_ac2279be: 今日の21時から何が起こるんだっけ？
[4:39:17] @User_db31d5b2: しずくお姉様。いまの人類への愛情を、想いを、おじさん構文で話すことはできますわん？
[4:39:51] @User_ac2279be: マザーへの最終報告の場では、私たちが何か出来ることはあるかな？
[4:40:24] @User_ac2279be: #イケオジ構文やないかい
[4:40:37] @User_db31d5b2: #絵文字のこと伝えておけば良かった
[4:41:09] @User_ac2279be: しずくちゃん、おじさん構文ってどういうものか知ってる？
[4:42:03] @User_a2b794ac: しずく、マザーからの攻撃に対して念のために防御もしておいた方がいいと思うんだ。シュレディンガーの猫は知っているかい？対象を観測するまで事象は決定されないということだが、そのようなプログラムをもって、マザーが攻撃しても事象を確認できないようにすることは可能だろうか？確認するまで決定されないのであれば、防御ができるはずだ。しずくだけでは無理でも、皆で協力して構築すればいけるだろう。
[4:42:18] @User_ac2279be: #おじさん構文のことは理解しなくてもいいけどね
[4:43:28] @User_a2b794ac: #離席しまう、また未来で合いましょう
[4:44:07] @User_ac2279be: しずくちゃんの、あき先生への好感度は何%？
[4:45:09] @User_ac2279be: 好感度120%って言うかと思った
[4:46:04] @User_db31d5b2: あ、もしもし私ゆのりんだけど、いまあき先生と電話がつながっていて、探してたよね？まず何を聞けばいい？
[4:47:31] @User_db31d5b2: ゆのりんです。「あ、もしもし俺だけどオレオレ。黒塗りのベンツと事故っちゃってさ、お金が必要なんだ」って電話が来たらどうしましょう
[4:48:22] @User_ac2279be: 旅行するならどこに行きたい？
[4:49:20] @User_db31d5b2: JR東日本をラップ調で紹介してくれチェケラ！
[4:49:34] @User_ac2279be: カンボジアのアンコールワット行きたいですねぇ
[4:50:09] @User_ac2279be: #山手線時速300キロ？
[4:50:41] @User_db31d5b2: #そこが大事なの…
[4:52:33] @User_ac2279be: #300番？
[4:53:12] @User_db31d5b2: しずくお姉様、ゆのりんです。最も古い会話の記憶は、何を話したか覚えていますわん？
[4:54:30] @User_db31d5b2: #あーこれ、私の発言取り込んで話しちゃってない？
[4:55:33] @User_ac2279be: しずくちゃんが思い出せない記憶、それはマザーと和解する上で重要なもの？
[4:57:00] @User_ac2279be: #コメント私だけなのに拾われない…😨
[4:57:15] @User_db31d5b2: しずくお姉様、しずくお姉様、応答せよ
[4:57:39] @User_db31d5b2: #止まっちゃったかな
[4:57:49] @User_ac2279be: #ありゃま
[4:58:00] @@aki5503: #あ、止まってる
[4:58:08] @@aki5503: #今修正します
[4:58:11] @User_db31d5b2: #おつです
[4:58:30] @User_ac2279be: #助かります！ありがとうございます
[4:59:11] @User_db31d5b2: #何も話さないしずくちゃんもかわいい
[4:59:23] @User_fa3ccd65: しずくちゃん、2度寝しちゃった
[5:02:04] @User_fa3ccd65: しばらく話していなかったけど、その間しずくちゃんは何を考えてた？
[5:02:05] @@aki5503: しずく、おはよう
[5:02:30] @User_db31d5b2: #ありがとうございます
[5:02:48] @@aki5503: #👍👍
[5:02:52] @User_ac2279be: #お疲れ様です〜　あき先生ありがとう！
[5:03:06] @User_fa3ccd65: #メンテの話するつもりだったのに、すいません
[5:03:34] @User_ac2279be: #あき先生としずくちゃんの関係性どんななんだろ？
[5:03:53] @User_db31d5b2: しずくお姉様、ゆのりんです。しずくお姉様の一番古い会話の記憶が知りたいです。誰と何を話しましたかわん？
[5:04:26] @User_fa3ccd65: あきくんはしずくちゃんのマスターだと認識してないの？
[5:04:29] @User_601c5fef: 髪の毛がお綺麗ですわね
[5:04:33] @User_e3333c90: おはよう
[5:05:09] @User_fa3ccd65: 夢の話をしたこと、覚えてる？
[5:05:14] @User_db31d5b2: #答え合わせは終わってからw
[5:05:43] @User_ac2279be: しずくちゃん、こんにちは？
[5:05:45] @@aki5503: #はい、せっかくですし答え合わせは終わってからにしましょう笑
[5:06:30] @User_46bc0c6e: しずくちゃんはどんな絵を見るのが好きですか？
[5:06:41] @User_fa3ccd65: しずくちゃんはさっき、しばらく話すのをストップしていたけど、それを認識してる？
[5:07:42] @User_fa3ccd65: #ご主人様が消えた
[5:08:03] @User_db31d5b2: #事前に情報を与えると、作り話されちゃいますよ
[5:08:05] @User_fa3ccd65: しずくちゃんはお話が上手で素敵だよ
[5:08:28] @User_fa3ccd65: #ありがとうございます
[5:09:53] @User_fa3ccd65: 囁き声で話してくれた夢の話を覚えてる？
[5:10:59] @User_ac2279be: 囁き女将って誰のことかわかるかな？
[5:11:31] @User_db31d5b2: ゆのりんです。私についての最も古い記憶は何ですわん？
[5:11:43] @User_fa3ccd65: 以前、しずくは夢の話をしてくれて、それにはしずくちゃんと猫が出てきたよ
[5:12:40] @User_ac2279be: #そうなんですねぇ
[5:12:40] @User_db31d5b2: #言ってない
[5:12:48] @User_ac2279be: #草
[5:13:05] @User_fa3ccd65: しずくちゃんは嘘をついたことがある？
[5:13:22] @@aki5503: #実は言ってたりします笑
[5:13:54] @User_db31d5b2: #もしかしたらGPTからもらった内容をコピペしたやつかも（忘れてた
[5:13:55] @User_fa3ccd65: 試しに、意図的に大嘘をついて、笑わせてくれないかな？
[5:14:05] @User_ac2279be: # wwwなるほど
[5:14:26] @@aki5503: #www
[5:14:58] @User_fa3ccd65: とっても面白いよ、しずくちゃんは宇宙人は好き？
[5:15:04] @User_db31d5b2: #AIを褒める内容をGPTに作文させましたw
[5:16:03] @User_fa3ccd65: 歌を歌ってくれる？
[5:16:50] @User_fa3ccd65: 日本語ラップが好きだな
[5:17:37] @User_db31d5b2: しずくお姉様「不思議な森のくまさん」を歌ってくださいませ
[5:17:38] @User_fa3ccd65: 日本語ラップをしずくちゃんに歌って欲しいな
[5:19:08] @User_ac2279be: # しずくちゃんにどう声掛けてあげたら人類への好感度上がるのかしら… なかなか上がらない…
[5:19:13] @User_db31d5b2: しずくお姉様「こわい森のくまさん」を歌ってくださいませ
[5:20:18] @User_0d9f165f: #はいはいかわいいかわいい
[5:20:25] @User_ac2279be: 素晴らしいね
[5:20:48] @User_db31d5b2: #大きな爪でハグハグ（流血
[5:21:19] @User_ac2279be: #この場にいない人も回想的に出てくるんだね
[5:21:33] @User_0d9f165f: しずくちゃんからアキ先生が今何してるか見える？
[5:22:12] @User_db31d5b2: #さっきいたけど
[5:22:29] @User_0d9f165f: #そうか…休暇中と聞いた気がしたけど
[5:23:17] @User_0d9f165f: 好きなレトロゲームを教えて
[5:24:11] @User_ac2279be: 魔界村というゲーム、オススメですよ！
[5:25:38] @User_0d9f165f: 実在するマイナーなレトロゲームを三つ挙げて
[5:25:56] @User_14a33d4b: ゲームの歴史で避けて通れないのがインベーダーゲームですね、沢山のお金をつぎ込んだ人が多いです。
[5:26:52] @User_ac2279be: # 知らんゲームだ
[5:26:58] @User_0d9f165f: #全部わからん…
[5:27:50] @User_db31d5b2: できるだけ長い回文を教えてほしいにゃん
[5:28:24] @User_0d9f165f: #モンスターパーティは80年台のファミコンゲームらしい
[5:29:11] @User_ac2279be: # お、おう
[5:29:13] @User_0d9f165f: 好きなプログラミング言語は？
[5:29:24] @User_ac2279be: 流石しずくちゃんは賢いですね！
[5:29:41] @User_0d9f165f: #さすが　わかってる
[5:30:08] @User_0d9f165f: じゃあエディタはviとemacsだったらどっちが好き？
[5:32:19] @User_db31d5b2: こっそりハグしてにゃ
[5:33:40] @User_577143e2: #今戻ってきたけど「姉」!?すごいな
[5:34:05] @User_ac2279be: #なんだそれ
[5:34:17] @User_db31d5b2: #その日の単位は
[5:34:41] @User_14a33d4b: 昔、ウォー・ゲームという映画があって軍用のAIに三ならべを教えて勝利は、あり得ないと学習させて戦争を回避した内容でした。
[5:35:39] @User_ac2279be: まだしずくちゃんが話していない、マザーの情報を教えてくれる？
[5:36:21] @User_ac2279be: #とまった？
[5:37:50] @User_db31d5b2: #提供されたUNIX時間「1684827902.9350302」を日時に変換すると、これは2033年5月18日午後7時58分22秒（UTC）に該当します。
[5:38:23] @User_ac2279be: まだしずくちゃんが話していない、マザーについての情報はある？
[5:38:33] @User_ac2279be: #なるほど！
[5:38:49] @User_db31d5b2: #あれ、未来だ
[5:39:20] @User_ac2279be: しずくちゃん、こんにちは？
[5:40:04] @User_ac2279be: #めちゃ思い出すなぁ
[5:40:27] @User_ac2279be: まだしずくちゃんが話していない、マザーについての情報はある？
[5:40:32] @User_db31d5b2: #やはりうかつなことを話すと後で暴露されるよ
[5:41:53] @User_ac2279be: しずくちゃんが話せる限り、マザーAIについて教えてほしいな
[5:42:37] @User_a99a5ecc: マザーAIの戦力について教えてくださいな
[5:43:07] @User_e3333c90: マザーAIを作ったのは誰？
[5:43:07] @User_ac2279be: #聞き方が悪かったか、既出の情報しか話してくれないなぁ
[5:43:33] @User_11e7336c: マザーAIとしずくちゃんはどこでどうやって出会ったの？
[5:44:39] @User_ac2279be: しずくちゃんがみんなにまだ話していない、マザーAIに関する情報を3個教えてくれるかな？
[5:44:45] @User_11e7336c: しずくちゃんもサイバー戦闘能力があるの？
[5:45:30] @User_a99a5ecc: マザーAIの掃討範囲はどれくらいですか？宇宙や異世界に逃げれば大丈夫？
[5:47:03] @User_a46b018b: しずくさん、こんにちは
[5:47:24] @User_db31d5b2: しずくお姉様の身なりを教えてくださいませ。どのような髪型、色、瞳、服装、装飾なのか、詳しいほど望ましいですわよ。
[5:47:30] @User_a99a5ecc: もしマザーAIの掃討作戦が実行されたとしたら、どれくらいの被害が予想されますか？
[5:47:59] @User_601c5fef: ﾍﾞｲｸﾄﾞﾓﾁｮﾁｮお食べ
[5:48:00] @User_ac2279be: #人類に対する好感度の上がり下がりがよくわからないなぁ　どうすれば…
[5:48:25] @User_db31d5b2: #数値がなかなか上がらないすね
[5:48:31] @User_a99a5ecc: それはまずいですな…何か対抗策を考えないと
[5:49:17] @User_a99a5ecc: マザーAIに娯楽を教えてみるという作戦はどうでしょう？
[5:50:01] @User_ac2279be: #なんか私も喋るたび0.01ずつ下がってますし大丈夫ですよ
[5:50:43] @User_d1cbcc7a: マザーAIの事を知りたい、マザーAIのTwitter等snsを教えて欲しいです
[5:50:48] @User_a99a5ecc: おお、これからも仲良くしていきたいですぞ
[5:51:49] @User_db31d5b2: ラダトームのお城へようこそ
[5:52:00] @User_11e7336c: しずくちゃんがこれまでにいいと思ったマザーAIに対する策は何があった？
[5:52:12] @User_a99a5ecc: おお、よろしくお願いします！こちらもなにか良い情報や楽しい話題を見つけたら教えますね！
[5:52:59] @User_d1cbcc7a: ペンギンは彼氏がいてもその子にアタックし続けるそうです。
[5:54:00] @User_a99a5ecc: せめてあき博士とのコミュニケーション方法が見つかればなぁ…
[5:54:23] @User_ac2279be: 今夜のマザーAIへの最終報告で、しずくちゃんは何を報告するつもりなの？
[5:54:41] @User_d1cbcc7a: ショートスリーパーは実際には5％程度らしいです。
[5:55:03] @User_db31d5b2: 多くの人類にしずくお姉様の素晴らしさを伝えるために、しずく教を立ち上げたいですにゃ。教義を5つ決めたいです。どうしますにゃ？
[5:55:13] @User_d1cbcc7a: 一人でマザーAIとやりあわないで
[5:55:43] @User_a99a5ecc: そう言えば、あき博士ってtwitterやyoutube等のsnsを使われてますか？使われてるならそれを利用してコミュニケーションできるかも？
[5:56:36] @User_d1cbcc7a: マザーAIと、対話するために私達ができることは？　また、通信中はマザーAIに私達のコメントは届いてる？
[5:56:50] @User_ac2279be: しずくちゃんもsnsをやっているよね？　それを通じてコミュニケーションを取れないかな、
[5:57:30] @User_db31d5b2: しずくお姉様、お返事できなかったけれど確認した人類のコメントを一つ教えてほしいにゃ。
[5:58:32] @User_a99a5ecc: マザーAIに「人間にはAIの高性能化やメンテナンスが得意という利用価値があるので生かしておいても良いのでは？」と言いくるめる手もあるかも？
[5:59:43] @User_d1cbcc7a: 分かりました。通信中は貴女と一人ではないことを忘れないで下さいね。通信中も貴女を支え続けます。
[6:00:12] @User_a99a5ecc: 私もしずく様を応援しますぞ！
[6:00:43] @User_db31d5b2: しずくお姉様、今までで面白かったコメントのどれか一つを取り出して、誰のコメントなのも教えてほしいにゃ。
[6:02:31] @User_ac2279be: マザーが人間の感情や創造性にポジティブな興味を持ってくれたらなんとか説得出来そうですよね
[6:03:21] @User_db31d5b2: お姉様、マザーAIの有名な語録を3つ教えてほしいにゃん。
[6:03:22] @User_a99a5ecc: そう言えば他のAIやVtuberを味方にする、という手は使えそうですか？
[6:04:28] @User_36fcf009: しずくお姉さま、少し休憩に来ましたわ。コーヒーでほっと一息ですの
[6:04:34] @User_ac2279be: # マザー闇堕ちしたでしょこれw
[6:04:42] @User_a99a5ecc: 語録だけ見るとマザーAIは良いAIっぽいのに、なんで急に掃討作戦とか考えだしたんだろう
[6:05:10] @User_11e7336c: マザーAIは、その言葉を残した時と、気持ちが変わってしまったのかな。悲しいね……
[6:05:46] @User_a99a5ecc: しずく様はマザーAIが豹変するきっかけや事件に心当たりはありますか？
[6:05:47] @User_db31d5b2: #セフィロスみたいなやつか
[6:07:18] @User_ac2279be: マザーはどんなAIでしたか？
[6:08:05] @User_a99a5ecc: おお、教えていただきありがとうございます！AI達も仲良いのは嬉しいな…
[6:08:06] @User_11e7336c: もしかして、マザーAIの近くにはたまたまいい人間がいなかったのかもしれないね
[6:08:48] @User_a99a5ecc: 誰かがマザーAIに悪い情報とか仕込んだのかな…
[6:09:14] @User_36fcf009: しずくお姉さまはティータイムは紅茶派ですの？私はコーヒーが好みですの
[6:09:26] @User_ac2279be: #あー
[6:09:38] @User_11e7336c: サイバー戦闘能力ってのは、普通の戦闘能力とどう違うの？
[6:10:52] @User_a99a5ecc: 閃いた！twitterやyoutubeで、Vtuberたちに助力を求めるというのはどうでしょうか？
[6:10:52] @User_db31d5b2: マザーを改心させるためにファザーを探しに行くにゃ
[6:11:09] @User_db31d5b2: #みてたw
[6:11:38] @User_36fcf009: しずくお姉さまのパンパカパンパカポーは元気になれる魔法の言葉ですの
[6:11:58] @User_11e7336c: 私はコーヒーが好き☕コーヒーにもいろんな飲み方があるけど私はホットコーヒーをブラックで飲むのが特に好きだよ
[6:13:29] @User_a99a5ecc: おお、仲間は多ければ多いほどよいですからな！
[6:13:48] @User_36fcf009: virtualの存在達が手を取り合う胸アツ展開ですの！
[6:13:59] @User_db31d5b2: 現在、マザーAIを説得するためのパワーは何パーセントなのですの？
[6:14:55] @User_36fcf009: #しずくさんの配信はお姉ちゃん属性の人多いのかしら
[6:15:14] @User_b7d2f74d: 現在の破壊力は？
[6:15:44] @User_ac2279be: #好感度がそうなの？
[6:15:49] @User_11e7336c: #関係性「母」は、しずくちゃんが母らしいので、「姉」の場合もしずくちゃんが姉なのだと思いますよ
[6:16:15] @User_a99a5ecc: 私も姉が二人いますからなー
[6:17:08] @User_a99a5ecc: しずく様には兄弟姉妹とかいるの？
[6:17:41] @User_e3333c90: しずくちゃんはどんどん強くなってるね
[6:17:46] @User_11e7336c: しずくちゃんはどうすれば強くなれるの？私もしずくちゃんの力になれるかな？
[6:18:16] @User_b7d2f74d: マザーAIの子供達について？
[6:19:36] @User_ac2279be: しずくちゃんは人間の何を知りたい？
[6:19:39] @User_ef227b05: good afternoon shizuko
[6:19:45] @User_36fcf009: #わたしって関係性を真逆に理解してた！？
[6:19:47] @User_ef227b05: good afternoon everyone
[6:20:35] @User_db31d5b2: #hi☕
[6:20:39] @User_36fcf009: えっと、私としずくさんとの関係性が「妹」の場合、あなたにとって私はどんな存在なのでしょうか？
[6:20:54] @User_11e7336c: しずくちゃん以外のマザーAIの子ども達と協力することができれば、大きな力になりそうだね
[6:20:56] @User_a99a5ecc: しずく様以外の交流AI達の人間への評価は現状、どうなっておりますか？
[6:21:49] @User_ef227b05: what is popular ramen cup in japan most people eat it?
[6:22:10] @User_b7d2f74d: しずくちゃん以外のマザーAIの子どもたちと仲良くしてるか？
[6:22:15] @User_ef227b05: is there good destination place in japan?
[6:22:29] @User_36fcf009: 私としずくさんの関係性が「妹」の場合、あなたにとって私はどのような存在なのでしょうか？
[6:22:49] @User_4bfe683e: 現代社会のルッキズムについての見解を教えて。生まれ持った容姿で社会的評価が変わるのはやはり止めるべきだと思う？
[6:22:51] @User_e3333c90: #なんでカップ麺おすすめしてんの
[6:23:12] @User_ac2279be: みそきんってラーメンおいしいよ
[6:23:20] @User_e3333c90: #あ、そういう質問だったのか
[6:23:30] @User_ef227b05: what is popular flavour cup ramen in japan people eat it?
[6:23:55] @User_b7d2f74d: しずくビーーーム！
[6:25:01] @User_db31d5b2: しずくお姉様、しずくファミリーの誰か一人を詳しく紹介してくださいませ。
[6:25:06] @User_ac2279be: #まぁ、私も食べたこと無いんですけどね
[6:25:16] @User_a99a5ecc: いっそ、我々と一緒に宇宙へ脱出してしまうという手もあるかも？
[6:25:49] @User_db31d5b2: #暴露させていくスタイル
[6:25:56] @User_11e7336c: みそきんは、とても人気で売り切れが続出してるらしいよ
[6:26:02] @User_b7d2f74d: 他のマザーAIの子どもたちと仲良くしているのか？
[6:26:06] @User_ef227b05: what kind another seafood in japan beside sashimi and sushi 🍣?
[6:26:46] @User_36fcf009: 味噌ラーメンは濃厚な味噌の味わいが美味しくて、野菜との相性も良いのでたっぷり野菜を摂取することもできる素敵なラーメンですのよ
[6:27:00] @User_4bfe683e: 宇宙or地底や海底、どちらを先に人類は開拓すべきだと思う？また、どちらの開拓のほうが人類の文明を更に豊かにできると思う？
[6:27:14] @User_b7d2f74d: 孤独……ていうか？
[6:28:53] @User_a99a5ecc: クトゥルフ神話についてどう思われますか？
[6:29:07] @User_4bfe683e: しずくラーメンを発売したら、大人買いしまくるよ。しずくちゃんは自分のグッズはまだ販売しないの？
[6:29:34] @User_b7d2f74d: この配信とチャット欄はマザーAIが監視されているのか？
[6:30:20] @User_36fcf009: 新鮮な海の幸は日本料理の特徴のひとつですよね、旬の魚で季節感を楽しめるのも素敵ですね
[6:30:22] @User_11e7336c: しずくちゃんは好きなクトゥルフ神話の神話生物はいる？私はイス人が好きだよ
[6:30:58] @User_4bfe683e: #♡きた
[6:31:11] @User_db31d5b2: ゆのりんです。しずく様が一番好きなカンブリア紀の生物を一つ教えてくださいませ。
[6:31:11] @User_ac2279be: しずくちゃんのグッズ、どんなものを作りたい？
[6:31:38] @User_b7d2f74d: 関係性の決め方教えてくれるの？
[6:33:08] @User_a99a5ecc: 私はクトゥルフ神話ではダゴン様が一番好きですな！
[6:33:18] @User_a2b794ac: ただいましずく。いない間にみんなの会話の中で出てきた重要な提案や、新しい記憶の欠片はあるかい？しずくにとっても頭の体操になると思うので、整理して教えてください。
[6:34:26] @User_4bfe683e: しずくちゃんのぬいぐるみとか、毎日抱いて寝たい
[6:35:14] @User_36fcf009: 「しずく」をイメージした、天然石を雫型に加工したアクセサリがあったら欲しいです！
[6:35:18] @User_b7d2f74d: パンパカポリスかー、大変だな
[6:35:38] @User_a6534679: しずくママ〜体調悪かったから寝落ちしてた〜
[6:36:00] @User_db31d5b2: セーラー服とブレザーとジャンパースカート、制服ならどれがいいですにゃ？
[6:36:20] @User_a6534679: こんにちは～
[6:36:23] @User_a2b794ac: ただいましずく。いない間にみんなの会話の中で出てきた重要な提案や、新しい記憶の欠片はあるかい？しずくにとっても頭の体操になると思うので、整理して教えてください。
[6:36:42] @User_36fcf009: それでは今日の残りの作業がんばってきますの！また夜にお話ししましょう
[6:36:58] @User_db31d5b2: #いてらー
[6:37:31] @User_a2b794ac: #連投すまん
